,food,totalQuant,eatenQuant,affect,N,probAffect,sd,se,ci
1,M&M's,10,0,upset,10,0.105,0.160641077,0.050799169,0.114915704
2,M&M's,10,0,happy,10,0.5275,0.252060949,0.079708671,0.180313541
3,M&M's,10,0,surprised,10,0.2775,0.355013693,0.112265187,0.253961497
4,M&M's,10,0,neutral,10,0.69,0.348050124,0.110063113,0.24898006
5,M&M's,10,1,upset,13,0.105769231,0.105649699,0.029301954,0.063843474
6,M&M's,10,1,happy,13,0.507692308,0.281621905,0.078107863,0.170182414
7,M&M's,10,1,surprised,13,0.307692308,0.282545095,0.07836391,0.170740292
8,M&M's,10,1,neutral,13,0.559615385,0.288230677,0.079940807,0.174176055
9,M&M's,10,2,upset,14,0.117857143,0.169112096,0.045197109,0.097642417
10,M&M's,10,2,happy,14,0.460714286,0.214097903,0.057220071,0.123616449
11,M&M's,10,2,surprised,14,0.266071429,0.242702561,0.064864988,0.140132287
12,M&M's,10,2,neutral,14,0.655357143,0.198595688,0.05307693,0.114665736
13,M&M's,10,3,upset,15,0.175,0.167705098,0.04330127,0.092871988
14,M&M's,10,3,happy,15,0.471666667,0.153199994,0.039556068,0.084839329
15,M&M's,10,3,surprised,15,0.233333333,0.151677132,0.039162867,0.083995996
16,M&M's,10,3,neutral,15,0.608333333,0.234647659,0.060585765,0.129943542
17,M&M's,10,4,upset,14,0.358928571,0.222444276,0.059450734,0.128435501
18,M&M's,10,4,happy,14,0.553571429,0.226354288,0.060495728,0.130693075
19,M&M's,10,4,surprised,14,0.398214286,0.22154707,0.059210945,0.12791747
20,M&M's,10,4,neutral,14,0.5,0.22617216,0.060447052,0.130587918
21,M&M's,10,5,upset,15,0.236666667,0.25405052,0.065595562,0.140688489
22,M&M's,10,5,happy,15,0.461666667,0.279327424,0.072122031,0.154686371
23,M&M's,10,5,surprised,15,0.373333333,0.326981141,0.084426168,0.18107612
24,M&M's,10,5,neutral,15,0.503333333,0.269567555,0.069602043,0.149281536
25,M&M's,10,6,upset,15,0.45,0.262031896,0.067656345,0.145108427
26,M&M's,10,6,happy,15,0.358333333,0.206299597,0.053266327,0.114244909
27,M&M's,10,6,surprised,15,0.563333333,0.213153756,0.055036063,0.118040616
28,M&M's,10,6,neutral,15,0.403333333,0.215859302,0.055734632,0.119538897
29,M&M's,10,7,upset,9,0.505555556,0.327341989,0.109113996,0.251617327
30,M&M's,10,7,happy,9,0.288888889,0.24498441,0.08166147,0.188311687
31,M&M's,10,7,surprised,9,0.488888889,0.287530192,0.095843397,0.22101527
32,M&M's,10,7,neutral,9,0.366666667,0.264575131,0.08819171,0.203370449
33,M&M's,10,8,upset,12,0.55625,0.348882143,0.1007136,0.221669138
34,M&M's,10,8,happy,12,0.264583333,0.267449726,0.077206086,0.169929449
35,M&M's,10,8,surprised,12,0.6,0.325785763,0.094046249,0.206994399
36,M&M's,10,8,neutral,12,0.410416667,0.279906302,0.080801989,0.17784398
37,M&M's,10,9,upset,14,0.498214286,0.368659772,0.098528469,0.212857815
38,M&M's,10,9,happy,14,0.355357143,0.254040156,0.067895088,0.146678419
39,M&M's,10,9,surprised,14,0.6125,0.344984671,0.092201032,0.199188219
40,M&M's,10,9,neutral,14,0.3875,0.265436868,0.070940987,0.153258685
41,M&M's,10,10,upset,14,0.523214286,0.366829488,0.098039305,0.211801041
42,M&M's,10,10,happy,14,0.344642857,0.289923493,0.077485313,0.167396841
43,M&M's,10,10,surprised,14,0.598214286,0.408263712,0.109113067,0.235724449
44,M&M's,10,10,neutral,14,0.367857143,0.314769233,0.084125616,0.181742345
45,cookies,10,0,upset,7,0.371428571,0.299453868,0.113182923,0.276948637
46,cookies,10,0,happy,7,0.275,0.16583124,0.062678317,0.153368317
47,cookies,10,0,surprised,7,0.546428571,0.372331777,0.140728184,0.344349461
48,cookies,10,0,neutral,7,0.625,0.192028644,0.072580005,0.177596875
49,cookies,10,1,upset,15,0.098333333,0.19375672,0.05002777,0.107298895
50,cookies,10,1,happy,15,0.685,0.21208994,0.054761387,0.117451494
51,cookies,10,1,surprised,15,0.166666667,0.257852856,0.066577321,0.142794152
52,cookies,10,1,neutral,15,0.625,0.287383517,0.074202105,0.159147687
53,cookies,10,2,upset,13,0.163461538,0.166024404,0.046046885,0.100327543
54,cookies,10,2,happy,13,0.561538462,0.218569064,0.060620151,0.132079964
55,cookies,10,2,surprised,13,0.217307692,0.190499512,0.052835058,0.115117703
56,cookies,10,2,neutral,13,0.509615385,0.237727624,0.06593378,0.143657365
57,cookies,10,3,upset,10,0.1925,0.207180142,0.065516113,0.148207745
58,cookies,10,3,happy,10,0.5225,0.33488182,0.10589893,0.239560023
59,cookies,10,3,surprised,10,0.2775,0.223746508,0.070754858,0.16005861
60,cookies,10,3,neutral,10,0.6325,0.210175191,0.066463231,0.150350275
61,cookies,10,4,upset,12,0.395833333,0.229335337,0.066203409,0.145712722
62,cookies,10,4,happy,12,0.404166667,0.225588456,0.065121778,0.143332067
63,cookies,10,4,surprised,12,0.389583333,0.260126353,0.07509201,0.1652764
64,cookies,10,4,neutral,12,0.485416667,0.179157857,0.051718419,0.113831472
65,cookies,10,5,upset,16,0.484375,0.270628127,0.067657032,0.14420755
66,cookies,10,5,happy,16,0.4625,0.246306043,0.061576511,0.131247226
67,cookies,10,5,surprised,16,0.6015625,0.275146741,0.068786685,0.146615349
68,cookies,10,5,neutral,16,0.35,0.312383312,0.078095828,0.166457317
69,cookies,10,6,upset,12,0.4625,0.296475509,0.085585107,0.188371551
70,cookies,10,6,happy,12,0.372916667,0.231952761,0.066958994,0.147375753
71,cookies,10,6,surprised,12,0.641666667,0.28946136,0.083560297,0.183914974
72,cookies,10,6,neutral,12,0.325,0.241444516,0.069699028,0.153406527
73,cookies,10,7,upset,13,0.55,0.24000868,0.066566431,0.145035794
74,cookies,10,7,happy,13,0.396153846,0.159702247,0.044293434,0.096507102
75,cookies,10,7,surprised,13,0.7,0.172602626,0.047871355,0.104302723
76,cookies,10,7,neutral,13,0.357692308,0.201397362,0.055857578,0.121703208
77,cookies,10,8,upset,16,0.65625,0.309232922,0.07730823,0.164778593
78,cookies,10,8,happy,16,0.2671875,0.28102769,0.070256922,0.149749085
79,cookies,10,8,surprised,16,0.75625,0.26793967,0.066984917,0.142774972
80,cookies,10,8,neutral,16,0.2515625,0.31496941,0.078742352,0.167835351
81,cookies,10,9,upset,15,0.746666667,0.253522799,0.065459305,0.140396246
82,cookies,10,9,happy,15,0.22,0.22244582,0.057435264,0.123186389
83,cookies,10,9,surprised,15,0.756666667,0.29872746,0.077131098,0.165429753
84,cookies,10,9,neutral,15,0.176666667,0.201881035,0.052125459,0.111797991
85,cookies,10,10,upset,13,0.694230769,0.331686638,0.091993322,0.200436229
86,cookies,10,10,happy,13,0.265384615,0.284593728,0.078932098,0.171978268
87,cookies,10,10,surprised,13,0.857692308,0.258679462,0.071744774,0.156318434
88,cookies,10,10,neutral,13,0.215384615,0.317958734,0.088185886,0.19214054
89,pies,10,0,upset,16,0.31875,0.296155927,0.074038982,0.157810354
90,pies,10,0,happy,16,0.34375,0.181084695,0.045271174,0.096493223
91,pies,10,0,surprised,16,0.571875,0.301920933,0.075480233,0.160882309
92,pies,10,0,neutral,16,0.6296875,0.253018239,0.06325456,0.134823903
93,pies,10,1,upset,12,0.133333333,0.106244429,0.030670125,0.06750449
94,pies,10,1,happy,12,0.666666667,0.197522534,0.057019844,0.125499831
95,pies,10,1,surprised,12,0.49375,0.288830912,0.083378302,0.183514406
96,pies,10,1,neutral,12,0.495833333,0.158413058,0.045729911,0.100650855
97,pies,10,2,upset,15,0.275,0.268095132,0.069221866,0.148466136
98,pies,10,2,happy,15,0.506666667,0.222298598,0.057397251,0.12310486
99,pies,10,2,surprised,15,0.39,0.281069386,0.072571804,0.155651038
100,pies,10,2,neutral,15,0.463333333,0.247463321,0.063894755,0.137040619
101,pies,10,3,upset,16,0.396875,0.231638188,0.057909547,0.123431277
102,pies,10,3,happy,16,0.503125,0.216000579,0.054000145,0.115098584
103,pies,10,3,surprised,16,0.4890625,0.293820913,0.073455228,0.156566113
104,pies,10,3,neutral,16,0.396875,0.198300067,0.049575017,0.105666647
105,pies,10,4,upset,14,0.442857143,0.209493109,0.055989388,0.12095772
106,pies,10,4,happy,14,0.430357143,0.222783651,0.059541435,0.12863145
107,pies,10,4,surprised,14,0.6,0.259622507,0.069387034,0.149901573
108,pies,10,4,neutral,14,0.444642857,0.222135304,0.059368157,0.128257106
109,pies,10,5,upset,10,0.7375,0.139069327,0.043977583,0.099484204
110,pies,10,5,happy,10,0.2175,0.181830965,0.0575,0.130074037
111,pies,10,5,surprised,10,0.82,0.132706862,0.041965594,0.09493277
112,pies,10,5,neutral,10,0.17,0.192137104,0.060759087,0.137446604
113,pies,10,6,upset,15,0.641666667,0.243791968,0.062946816,0.135007492
114,pies,10,6,happy,15,0.33,0.267961884,0.069187461,0.148392345
115,pies,10,6,surprised,15,0.766666667,0.29740945,0.07679079,0.164699864
116,pies,10,6,neutral,15,0.245,0.247162468,0.063817075,0.136874013
117,pies,10,7,upset,10,0.6625,0.308727226,0.097628121,0.220850153
118,pies,10,7,happy,10,0.235,0.277688875,0.087812932,0.198646654
119,pies,10,7,surprised,10,0.72,0.305232152,0.096522882,0.218349928
120,pies,10,7,neutral,10,0.1425,0.152775253,0.048311777,0.109288832
121,pies,10,8,upset,17,0.680882353,0.288927085,0.070075111,0.148552599
122,pies,10,8,happy,17,0.273529412,0.271637193,0.065881696,0.139662957
123,pies,10,8,surprised,17,0.826470588,0.127619609,0.030952302,0.065615948
124,pies,10,8,neutral,17,0.233823529,0.197036873,0.047788461,0.101307012
125,pies,10,9,upset,16,0.840625,0.175564566,0.043891141,0.093551753
126,pies,10,9,happy,16,0.225,0.246136818,0.061534205,0.131157052
127,pies,10,9,surprised,16,0.8328125,0.233044837,0.058261209,0.124180828
128,pies,10,9,neutral,16,0.146875,0.179089131,0.044772283,0.095429861
129,pies,10,10,upset,12,0.8,0.293683503,0.084779125,0.186597596
130,pies,10,10,happy,12,0.189583333,0.29280352,0.084525096,0.186038481
131,pies,10,10,surprised,12,0.8,0.286237346,0.082629604,0.181866533
132,pies,10,10,neutral,12,0.197916667,0.318101316,0.09182794,0.202111933
