workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.personAs	Answer.personBs	Answer.foods	Answer.totalQuants	Answer.eatenQuants	Answer.preciseEatenQuants	Answer.affects
AU2FEBOQUK4PE	M	25	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Ann,Edward,Jake,Heather,Nancy,Kathy,Cathy,Larry,Steven,Grace,David,Patty,Emma,Albert,Jane,Tom,Diana,Matt,Bob,Fiona,Iris,Mary	Henry,Winston,Robert,Calvin,Nathan,Yvonne,Patrick,Oliver,Wendy,Kevin,Tracy,Victoria,Barbara,Ivan,Zack,Rebecca,Victor,Stephanie,George,Frank,Olga,Lena	pies,bananas,blueberries,bananas,strawberries,M&M's,M&M's,strawberries,M&M's,pies,bananas,bananas,blueberries,cookies,cookies,strawberries,pies,strawberries,bananas,strawberries,blueberries,cookies	10,100,100,100,10,10,100,10,100,10,10,10,10,10,100,100,100,100,10,100,100,10	3,9,9,5,7,0,10,2,9,0,7,8,0,6,5,10,6,4,3,3,3,7	3,94,97,58,7,0,100,2,94,0,7,8,0,6,55,100,61,45,3,34,33,7	0.725,0.975,0.975,1,0.975,0.025,0.5,0.1,0.975,0,0.85,0.8,0,0.625,0.525,0.975,0.975,0.975,0.425,0.6,0.575,0.75
ASWM4CCJAAHS0	F	25	6	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Victor,Nancy,Robert,Winston,Oliver,Heather,Mary,Diana,Ann,Bob,Jake,Tom,Emma,Rebecca,David,Edward,Frank,Albert,Tracy,Jane,Yvonne,Fiona	Grace,Victoria,Olga,Kathy,Patrick,Larry,Kevin,Iris,Calvin,Nathan,George,Matt,Barbara,Steven,Cathy,Stephanie,Wendy,Ivan,Henry,Lena,Zack,Patty	bananas,cookies,pies,cookies,bananas,blueberries,bananas,M&M's,M&M's,strawberries,blueberries,bananas,pies,bananas,blueberries,M&M's,blueberries,pies,M&M's,cookies,cookies,M&M's	100,10,10,100,100,100,100,100,100,10,100,10,100,10,10,100,10,10,100,100,10,10	6,5,2,10,3,3,4,7,5,4,2,0,10,8,7,1,2,4,2,6,8,2	60,5,2,100,33,37,44,75,51,4,22,0,100,8,7,12,2,4,21,66,8,2	1,0.575,1,1,0.75,0.3,0.725,0.65,0.525,0,0.175,0,1,0.85,0,0,0,1,0,1,0.75,0
A2RMODQCL071B5	F	25	4	arabic	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Henry,Tom,Jane,Fiona,Bob,Winston,Stephanie,Steven,Diana,Frank,Mary,Ivan,Robert,Patrick,Jake,Nathan,Kathy,Larry,Edward,David,Victoria,Heather	Albert,Matt,Patty,Victor,Yvonne,Lena,Zack,Ann,Oliver,Barbara,Emma,Olga,George,Grace,Iris,Tracy,Rebecca,Wendy,Calvin,Nancy,Kevin,Cathy	bananas,cookies,blueberries,M&M's,pies,blueberries,M&M's,strawberries,bananas,cookies,cookies,blueberries,blueberries,cookies,blueberries,blueberries,cookies,blueberries,blueberries,strawberries,M&M's,pies	100,100,10,10,10,100,10,10,10,10,100,10,10,10,10,10,10,100,100,10,100,100	4,10,1,3,9,1,9,9,8,8,2,3,4,10,10,2,1,7,10,8,4,2	43,100,1,3,9,19,9,9,8,8,20,3,4,10,10,2,1,72,100,8,46,26	0.25,0.25,0,0,0.6,0.25,0.75,0.75,0.75,0.75,0.25,0.25,0.275,1,1,0.075,0,0.775,1,0.75,0.6,0.225
A2LVAD3U0MFOIM	F	35	10	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Patty,Kevin,Kathy,David,Patrick,Victoria,Stephanie,Diana,Nancy,Lena,Tracy,Steven,Bob,Henry,Oliver,Zack,Yvonne,Olga,Frank,Ann,Wendy,Winston	Edward,Cathy,Robert,Rebecca,Calvin,Jake,Jane,Fiona,Barbara,Larry,Mary,Emma,Tom,Victor,Albert,Grace,Heather,Nathan,Matt,George,Iris,Ivan	cookies,strawberries,strawberries,M&M's,blueberries,M&M's,pies,bananas,strawberries,M&M's,bananas,cookies,strawberries,pies,pies,M&M's,blueberries,M&M's,strawberries,bananas,blueberries,M&M's	10,100,10,10,100,10,100,100,100,100,10,10,10,100,100,10,100,100,10,10,10,10	8,4,3,7,0,0,0,1,0,10,9,9,5,5,7,2,8,2,1,6,9,4	8,40,3,7,0,0,3,15,5,100,9,9,5,54,71,2,87,20,1,6,9,4	0.75,0.625,0.15,0.2,0,0,0.675,0.6,0,0.55,0.725,0.725,0.15,1,1,0,0.675,0.05,0,0.5,0.125,0.15
A1GGAQ3OESI3HJ	F	25	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Heather,Ivan,George,Zack,Olga,Fiona,Ann,Tom,Grace,Diana,Cathy,Steven,Jane,Wendy,Winston,Lena,Iris,Frank,Kevin,Yvonne,Nancy,Kathy	Patrick,Patty,Barbara,Rebecca,David,Mary,Matt,Tracy,Albert,Larry,Victor,Bob,Henry,Stephanie,Emma,Calvin,Jake,Oliver,Edward,Robert,Victoria,Nathan	M&M's,strawberries,strawberries,blueberries,strawberries,bananas,M&M's,M&M's,bananas,strawberries,strawberries,cookies,blueberries,strawberries,M&M's,blueberries,blueberries,blueberries,pies,blueberries,blueberries,M&M's	100,10,10,10,100,10,10,100,100,10,100,10,100,10,10,10,10,10,10,10,100,10	2,10,8,0,1,4,6,4,10,1,9,2,4,7,9,1,4,8,10,5,7,0	24,10,8,0,18,4,6,46,100,1,91,2,49,7,9,1,4,8,10,5,77,0	0.65,0.95,0.875,0.2,0.425,0.175,0.6,0.4,0.275,0.8,0.125,0.65,0.15,0.625,0.05,0.05,0.275,0.825,0.075,0.5,0.65,0.95
A36MTY8RSWBZU7	F	55	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Winston,Kevin,Barbara,Robert,Jake,Diana,Matt,Patrick,Edward,Iris,Tom,Ann,Steven,Wendy,Fiona,Jane,Cathy,Calvin,Victor,Tracy,Grace,Nancy	Rebecca,Bob,Oliver,David,Albert,George,Zack,Ivan,Patty,Larry,Lena,Yvonne,Frank,Stephanie,Victoria,Emma,Kathy,Heather,Mary,Nathan,Olga,Henry	M&M's,cookies,bananas,blueberries,M&M's,M&M's,pies,pies,M&M's,blueberries,bananas,strawberries,pies,pies,blueberries,bananas,strawberries,M&M's,blueberries,M&M's,blueberries,strawberries	10,10,10,100,10,100,100,100,100,100,10,100,100,10,10,10,100,100,100,100,100,100	1,5,3,4,7,2,7,0,8,8,6,0,3,8,5,10,4,7,2,5,1,5	1,5,3,49,7,27,78,8,86,87,6,7,39,8,5,10,45,75,28,59,12,54	0.125,0.525,0.475,0.625,0.75,0.425,0.925,0.175,0.625,0.675,0.725,0.1,0.625,0.575,0.475,1,0.525,0.525,0.375,0.525,0,0.65
A1ATW3MJ0DB22C	F	35	8	Chinese	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Tom,Lena,Patty,Wendy,Barbara,Kevin,Jake,Iris,Emma,Larry,Grace,Nancy,Nathan,Frank,Oliver,Robert,Heather,Matt,Mary,Edward,Calvin,Rebecca	Tracy,Stephanie,David,Ivan,Patrick,George,Fiona,Ann,Jane,Victor,Cathy,Olga,Winston,Steven,Henry,Victoria,Diana,Kathy,Yvonne,Bob,Zack,Albert	bananas,pies,bananas,bananas,pies,M&M's,blueberries,strawberries,strawberries,bananas,cookies,strawberries,pies,bananas,cookies,pies,blueberries,pies,strawberries,bananas,cookies,pies	100,10,10,10,100,10,100,100,10,100,100,10,10,100,100,10,100,100,10,100,10,100	10,6,6,0,2,1,9,5,8,7,6,9,7,9,8,9,5,6,7,6,7,8	100,6,6,0,21,1,99,52,8,73,62,9,7,93,86,9,56,65,7,66,7,82	0.75,0.75,0.75,0.5,0.25,0.5,1,0.75,0.875,0.825,0.75,0.925,0.85,0.975,0.925,0.975,0.75,0.75,0.725,0.75,0.775,0.85
A18WSAKX5YN2FB	F	35	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Zack,Fiona,Bob,Cathy,Kevin,Stephanie,Yvonne,Winston,Barbara,Rebecca,Frank,Edward,Victor,Olga,Tracy,Victoria,Heather,Robert,Mary,Emma,Nathan,Kathy	Jane,George,David,Albert,Larry,Ivan,Calvin,Ann,Jake,Oliver,Wendy,Patty,Steven,Nancy,Grace,Tom,Patrick,Iris,Henry,Matt,Diana,Lena	pies,M&M's,M&M's,blueberries,bananas,pies,bananas,bananas,blueberries,blueberries,cookies,bananas,pies,pies,M&M's,blueberries,bananas,bananas,bananas,M&M's,blueberries,blueberries	10,100,10,100,10,10,100,10,10,100,100,10,10,100,10,100,10,100,100,100,100,10	4,9,10,7,6,6,4,5,3,2,1,2,8,2,5,10,8,1,0,6,5,7	4,92,10,75,6,6,44,5,3,26,16,2,8,20,5,100,8,16,1,64,54,7	0.75,0.75,0.25,0.5,0.5,0.75,0.5,0.25,0.025,0.275,0.5,0,1,1,0.025,0.75,0.5,0.5,0,0.75,0.5,0.025
A1Q4CX6DHZFYF2	M	25	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Kathy,Rebecca,Diana,Matt,Iris,Stephanie,David,Jake,Patty,Fiona,Barbara,Frank,Lena,Ann,Zack,Tom,Henry,Winston,Robert,Steven,Jane,Heather	Patrick,Oliver,Victor,Tracy,Cathy,Bob,Kevin,Edward,Nancy,Wendy,Victoria,Larry,Nathan,Albert,Emma,George,Mary,Ivan,Olga,Calvin,Grace,Yvonne	pies,cookies,bananas,strawberries,strawberries,cookies,bananas,blueberries,strawberries,pies,cookies,M&M's,cookies,pies,cookies,pies,blueberries,strawberries,strawberries,M&M's,pies,pies	100,100,10,100,100,10,100,100,10,10,100,100,10,10,100,100,100,100,100,10,10,100	7,7,7,9,6,10,2,9,0,9,6,6,0,8,8,9,8,7,3,0,2,1	70,71,7,97,61,10,29,91,0,9,62,66,0,8,88,99,80,73,34,0,2,15	0.775,0.7,0.925,0.925,0.6,0.975,0.325,0.825,0.025,0.925,0.725,0.7,0.025,0.9,0.775,0.9,0.825,0.725,0.225,0.05,0.025,0.05
A1IYCRA62VYFZK	M	45	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Edward,Patrick,Calvin,Jake,Larry,Henry,Oliver,Rebecca,Tom,Iris,Grace,Victor,Nathan,Matt,Barbara,Mary,Kevin,Tracy,Ivan,Winston,Fiona,Zack	Albert,Bob,Frank,Lena,Steven,Robert,Stephanie,Olga,Ann,Heather,Kathy,Nancy,Wendy,Jane,David,Yvonne,George,Victoria,Patty,Emma,Cathy,Diana	M&M's,cookies,strawberries,blueberries,strawberries,pies,M&M's,pies,M&M's,cookies,M&M's,bananas,pies,cookies,blueberries,strawberries,pies,M&M's,strawberries,strawberries,blueberries,pies	10,100,100,10,100,100,10,10,100,10,10,100,10,10,10,10,100,100,10,10,10,100	2,5,8,4,6,5,4,3,7,1,6,6,8,10,5,1,7,5,7,6,9,6	2,51,89,4,62,52,4,3,75,1,6,60,8,10,5,1,75,56,7,6,9,63	0.25,0.75,0.75,0.25,0.75,1,0.25,0.5,0.75,0,0.25,0.85,0.775,0.65,0.125,0.025,0.875,0.575,0.525,0.5,0.35,0.775
