workerID,gender,age,income,language,condition,order,pesonA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,affect
1,F,35,4,English,true-some,1,Kathy,Yvonne,pies,100,3,35,some,She is upset
1,F,35,4,English,hyperbolic,2,Diana,Henry,blueberries,100,9,90,all,she is angry
1,F,35,4,English,hyperbolic,3,Mary,Ivan,bananas,10,7,7,all,she is disgusted
1,F,35,4,English,literal-some,4,Heather,Matt,pies,10,10,10,some,she is outraged
1,F,35,4,English,ironic,5,Zack,Stephanie,bananas,10,0,0,all,he is mistaken
1,F,35,4,English,hyperbolic,6,Rebecca,Frank,M&M's,10,8,8,all,she is crazed
1,F,35,4,English,true-all,7,Oliver,Fiona,cookies,10,10,10,all,he is upset
2,M,35,8,English,hyperbolic,1,Olga,Henry,cookies,100,8,84,all,She feels irritated by Henry's behavior.
2,M,35,8,English,hyperbolic,2,Tracy,Larry,cookies,10,9,9,all,Tracy feels anger towards Larry for eating all the cookies.
2,M,35,8,English,literal-some,3,Rebecca,Jake,pies,100,10,100,some,Rebecca feels disgust towards Jake for eating all those pies.
2,M,35,8,English,true-some,4,Cathy,Lena,bananas,100,3,35,some,Cathy felt surprise that Lena can eat so many bananas.
2,M,35,8,English,ironic,5,Steven,Winston,cookies,10,0,0,all,Steven was confused as to why Winston ate some many cookies but not his.
2,M,35,8,English,true-all,6,Bob,Kathy,M&M's,100,10,100,all,Bob is annoyed that Kathy greedily ate all the M&M's from everyone else.
2,M,35,8,English,hyperbolic,7,Diana,Iris,cookies,100,7,70,all,Diana is frustrated that one person  Iris  ate so many of her cookies.
3,M,35,4,English,hyperbolic,1,Mary,Grace,cookies,100,8,85,all,Mary is mad Grace ate most of the cookies
3,M,35,4,English,ironic,2,Henry,Fiona,M&M's,10,0,0,all,Henry feels confused about who ate them
3,M,35,4,English,hyperbolic,3,Calvin,Larry,bananas,10,7,7,all,Calvin is mad that Larry ate most of the bananas
3,M,35,4,English,literal-some,4,Oliver,Emma,cookies,10,10,10,some,Oliver is mad at how many cookies Emma ate
3,M,35,4,English,true-some,5,Frank,Yvonne,pies,100,3,35,some,Frank is mad that Yvonne ate a lot of the pies
3,M,35,4,English,true-all,6,Barbara,Winston,blueberries,10,10,10,all,Barbara is mad that Winston ate all of the blueberries
3,M,35,4,English,hyperbolic,7,Cathy,Albert,strawberries,10,9,9,all,Cathy is angry at how many Albert ate
4,F,35,6,English,true-all,1,Oliver,Grace,M&M's,10,10,10,all,Oliver's angry that Grace ate all the M&M's without sharing it with others
4,F,35,6,English,hyperbolic,2,Henry,Fiona,blueberries,100,9,98,all,Henry feels Fiona's selfish
4,F,35,6,English,ironic,3,Patty,Tracy,bananas,100,0,6,all,Patty feels Tracy deserved less banana
4,F,35,6,English,literal-some,4,Bob,Kevin,blueberries,100,10,100,some,Bob feels Kevin's selfish
4,F,35,6,English,hyperbolic,5,Lena,Kathy,blueberries,10,8,8,all,Lena is angry that Kathy ate majority of the blueberries
4,F,35,6,English,true-some,6,Heather,Stephanie,pies,100,3,36,some,Heather feels appreciated that Heather ate some of her pies
4,F,35,6,English,hyperbolic,7,Larry,Edward,bananas,10,7,7,all,Larry feels Edward is selfish
5,F,25,8,English,ironic,1,Patty,Olga,M&M's,10,0,0,all,She hates her so much  she'd make up lies about her.
5,F,25,8,English,hyperbolic,2,Grace,Heather,strawberries,10,9,9,all,She felt like she actually ate them all.
5,F,25,8,English,hyperbolic,3,Jake,Albert,M&M's,100,7,75,all,He's mad that he didn't share.
5,F,25,8,English,hyperbolic,4,Rebecca,Victoria,pies,100,8,80,all,She feels like Victoria is deadly obease and needs help.
5,F,25,8,English,true-some,5,Winston,Cathy,cookies,10,3,3,some,She feels neutral toward her.
5,F,25,8,English,literal-some,6,Kevin,Mary,blueberries,10,10,10,some,He wants to stick up for her.
5,F,25,8,English,true-all,7,Nancy,Barbara,blueberries,10,10,10,all,She's upset she didn't share.
