quantifier,food,totalQuant,eatenQuant,probability
some,blueberries,10,0,0.0014397711390693852
some,blueberries,10,1,0.32740756707146207
some,blueberries,10,2,0.16475814219954524
some,blueberries,10,3,0.1264330732671184
some,blueberries,10,4,0.09065404638463971
some,blueberries,10,5,0.07308238870686118
some,blueberries,10,6,0.050329695911342134
some,blueberries,10,7,0.038556586052442894
some,blueberries,10,8,0.03436638335831486
some,blueberries,10,9,0.033433571135126065
some,blueberries,10,10,0.05953877477407829
all,blueberries,10,0,0.0019974179550438544
all,blueberries,10,1,0.003997369841197948
all,blueberries,10,2,0.0020115577492945177
all,blueberries,10,3,0.0015436410298288494
all,blueberries,10,4,0.0011068093332168565
all,blueberries,10,5,0.000892274235298136
all,blueberries,10,6,0.0006144830748788111
all,blueberries,10,7,0.0004707433479445152
all,blueberries,10,8,0.0004195845124055744
all,blueberries,10,9,0.0004081956630829141
all,blueberries,10,10,0.986537923257808
some,blueberries,100,0,0.46102907429864154
some,blueberries,100,1,0.3363162390069983
some,blueberries,100,2,0.1072918073726224
some,blueberries,100,3,0.04137153862523986
some,blueberries,100,4,0.02585465619949641
some,blueberries,100,5,0.012265685215096847
some,blueberries,100,6,0.006179469328408647
some,blueberries,100,7,0.003631448796699021
some,blueberries,100,8,0.002294563069431896
some,blueberries,100,9,0.002215149363872003
some,blueberries,100,10,0.001550368723492947
all,blueberries,100,0,0.04564365505151667
all,blueberries,100,1,0.03329660374416025
all,blueberries,100,2,0.010622302406892206
all,blueberries,100,3,0.004095941759928419
all,blueberries,100,4,0.00255971060142063
all,blueberries,100,5,0.001214350105316162
all,blueberries,100,6,0.0006117912777114902
all,blueberries,100,7,0.0003595274256096166
all,blueberries,100,8,0.00022717058657184872
all,blueberries,100,9,0.00021930832367996337
all,blueberries,100,10,0.9011496387171927
some,M&M's,10,0,0.0006142041662376233
some,M&M's,10,1,0.154703450200071
some,M&M's,10,2,0.1417593841429989
some,M&M's,10,3,0.12466126806121818
some,M&M's,10,4,0.10555036945556608
some,M&M's,10,5,0.08063441831854301
some,M&M's,10,6,0.08039461159744163
some,M&M's,10,7,0.06925422603516294
some,M&M's,10,8,0.06098178556919412
some,M&M's,10,9,0.053615096480320056
some,M&M's,10,10,0.1278311859732466
all,M&M's,10,0,0.0005517979815726822
all,M&M's,10,1,0.0012845863615496794
all,M&M's,10,2,0.0011771047850340363
all,M&M's,10,3,0.0010351298859710611
all,M&M's,10,4,0.0008764417657382511
all,M&M's,10,5,0.0006695511568070023
all,M&M's,10,6,0.000667559911990312
all,M&M's,10,7,0.0005750552694810435
all,M&M's,10,8,0.0005063647251811443
all,M&M's,10,9,0.00044519512410821265
all,M&M's,10,10,0.9922112130325665
some,M&M's,100,0,0.3602854629291321
some,M&M's,100,1,0.2441969845764883
some,M&M's,100,2,0.19236587183572967
some,M&M's,100,3,0.10017097148344035
some,M&M's,100,4,0.042728434818165566
some,M&M's,100,5,0.0237360585679124
some,M&M's,100,6,0.01605872588316225
some,M&M's,100,7,0.010051955228114666
some,M&M's,100,8,0.005857462837513874
some,M&M's,100,9,0.0029407168571040972
some,M&M's,100,10,0.001607354983236494
all,M&M's,100,0,0.03173816520397304
all,M&M's,100,1,0.02151173176899766
all,M&M's,100,2,0.016945840029992033
all,M&M's,100,3,0.008824232917244455
all,M&M's,100,4,0.00376402120735268
all,M&M's,100,5,0.0020909501648912355
all,M&M's,100,6,0.001414640743208042
all,M&M's,100,7,0.0008854939998386683
all,M&M's,100,8,0.0005159939612931748
all,M&M's,100,9,0.00025905279849505514
all,M&M's,100,10,0.9120498772047141
some,strawberries,10,0,0.0013265017335262579
some,strawberries,10,1,0.440824607299849
some,strawberries,10,2,0.21032297055788043
some,strawberries,10,3,0.17426629409178312
some,strawberries,10,4,0.0882596199824074
some,strawberries,10,5,0.03690392070017144
