food,quantifier,eatenQuant,upset,happy,surprised,probability
M&M's,some,0,0,0,0,0.010148363930932412
M&M's,some,0,0,0,1,0.0034484496063887284
M&M's,some,0,0,1,0,0.011918673085144044
M&M's,some,0,0,1,1,0.004076088309896328
M&M's,some,0,1,0,0,0.0010302770121896124
M&M's,some,0,1,0,1,0.0003429931432480555
M&M's,some,0,1,1,0,0.0012193061207284644
M&M's,some,0,1,1,1,0.0004094594402591076
M&M's,some,1,0,0,0,0.045794489859443135
M&M's,some,1,0,0,1,0.019517709304860117
M&M's,some,1,0,1,0,0.048099692630601446
M&M's,some,1,0,1,1,0.020516137704215093
M&M's,some,1,1,0,0,0.005156887074027268
M&M's,some,1,1,0,1,0.0021931393774238905
M&M's,some,1,1,1,0,0.005421430919752527
M&M's,some,1,1,1,1,0.0023076265939292353
M&M's,some,2,0,0,0,0.04377846840014119
M&M's,some,2,0,0,1,0.015219596834901334
M&M's,some,2,0,1,0,0.038092409177382464
M&M's,some,2,0,1,1,0.013253137679902804
M&M's,some,2,1,0,0,0.0055685511018031065
M&M's,some,2,1,0,1,0.001931736053547014
M&M's,some,2,1,1,0,0.004849727289279244
M&M's,some,2,1,1,1,0.0016838208758599637
M&M's,some,3,0,0,0,0.048740004642198666
M&M's,some,3,0,0,1,0.01422505349389459
M&M's,some,3,0,1,0,0.04431776534619795
M&M's,some,3,0,1,1,0.01294445827716055
M&M's,some,3,1,0,0,0.009843155036548186
M&M's,some,3,1,0,1,0.0028665905118470713
M&M's,some,3,1,1,0,0.00895826374087957
M&M's,some,3,1,1,1,0.002611128069568289
M&M's,some,4,0,0,0,0.017051689272174375
M&M's,some,4,0,0,1,0.010820330102146511
M&M's,some,4,0,1,0,0.021535462803990987
M&M's,some,4,0,1,1,0.013676185848170078
M&M's,some,4,1,0,0,0.009089367814189979
M&M's,some,4,1,0,1,0.00575532389660559
M&M's,some,4,1,1,0,0.011489938622758378
M&M's,some,4,1,1,1,0.0072815996285128986
M&M's,some,5,0,0,0,0.03206365889599088
M&M's,some,5,0,0,1,0.018317718942840965
M&M's,some,5,0,1,0,0.028006280909563558
M&M's,some,5,0,1,1,0.016012215866256112
M&M's,some,5,1,0,0,0.009464563848135363
M&M's,some,5,1,0,1,0.005395378390901648
M&M's,some,5,1,1,0,0.008274470225510557
M&M's,some,5,1,1,1,0.004721005387295181
M&M's,some,6,0,0,0,0.013721920617657063
M&M's,some,6,0,0,1,0.016975729626308778
M&M's,some,6,0,1,0,0.00780472754902024
M&M's,some,6,0,1,1,0.009662933226121133
M&M's,some,6,1,0,0,0.010688810709041175
M&M's,some,6,1,0,1,0.013194894571873155
M&M's,some,6,1,1,0,0.0060851244130038055
M&M's,some,6,1,1,1,0.007518288657398407
M&M's,some,7,0,0,0,0.014534028346314697
M&M's,some,7,0,0,1,0.013331499039703654
M&M's,some,7,0,1,0,0.00601373782962283
M&M's,some,7,0,1,1,0.005520458611249813
M&M's,some,7,1,0,0,0.01414822793201176
M&M's,some,7,1,0,1,0.012949649746779066
M&M's,some,7,1,1,0,0.005859462339715234
M&M's,some,7,1,1,1,0.00536768148490639
M&M's,some,8,0,0,0,0.009982666370671302
M&M's,some,8,0,0,1,0.014359388772865855
M&M's,some,8,0,1,0,0.0036579746087311263
M&M's,some,8,0,1,1,0.005265841319728652
M&M's,some,8,1,0,0,0.01191359614573212
M&M's,some,8,1,0,1,0.017099966617195976
M&M's,some,8,1,1,0,0.00436952506646749
M&M's,some,8,1,1,1,0.0062771082643525685
M&M's,some,9,0,0,0,0.009201655424958908
M&M's,some,9,0,0,1,0.01394756809527299
M&M's,some,9,0,1,0,0.005166268278138059
M&M's,some,9,0,1,1,0.007836951577423723
M&M's,some,9,1,0,0,0.008698182365167466
M&M's,some,9,1,0,1,0.013156004836114529
M&M's,some,9,1,1,0,0.004888062258203716
M&M's,some,9,1,1,1,0.0073995488228583775
M&M's,some,10,0,0,0,0.0033775117100405773
M&M's,some,10,0,0,1,0.004507241674225305
M&M's,some,10,0,1,0,0.001859249153272991
M&M's,some,10,0,1,1,0.002493967147922595
M&M's,some,10,1,0,0,0.0032574810949165625
M&M's,some,10,1,0,1,0.004277746849922305
M&M's,some,10,1,1,0,0.0018042154661406795
M&M's,some,10,1,1,1,0.0023853222797543014
M&M's,all,0,0,0,0,0.021047673136227206
M&M's,all,0,0,0,1,0.009231272137359761
M&M's,all,0,0,1,0,0.02199391784337848
M&M's,all,0,0,1,1,0.009728247259785086
M&M's,all,0,1,0,0,0.0028785557308305286
M&M's,all,0,1,0,1,0.0012401942420784946
M&M's,all,0,1,1,0,0.003037208230660779
M&M's,all,0,1,1,1,0.0013167965139223956
M&M's,all,1,0,0,0,0.03381470880596368
M&M's,all,1,0,0,1,0.017161508556247217
M&M's,all,1,0,1,0,0.03263979858104535
M&M's,all,1,0,1,1,0.01670597464302786
M&M's,all,1,1,0,0,0.004662508925138933
