quantifier,eatenQuant,upset,happy,surprised,modelProb
some,0,0,0,0,0.015935927973863694
some,0,0,0,1,0.016061574647324776
some,0,0,1,0,0.005042376285954846
some,0,0,1,1,0.005406044469968679
some,0,1,0,0,0.0072709345898280785
some,0,1,0,1,0.006407995429896717
some,0,1,1,0,0.002416526200885656
some,0,1,1,1,0.002385298371494359
some,1,0,0,0,0.07017987160470228
some,1,0,0,1,0.013967332410865105
some,1,0,1,0,0.18992688357835538
some,1,0,1,1,0.03877707565738623
some,1,1,0,0,0.004361809035265052
some,1,1,0,1,0.0008303162227428008
some,1,1,1,0,0.012051748840800009
some,1,1,1,1,0.0023798926417940717
some,2,0,0,0,0.04404382330399889
some,2,0,0,1,0.01152544551583536
some,2,0,1,0,0.08046067257278869
some,2,0,1,1,0.021599519050008988
some,2,1,0,0,0.011153965220780921
some,2,1,0,1,0.0027917593032863413
some,2,1,1,0,0.020803551609714185
some,2,1,1,1,0.005401527470009749
some,3,0,0,0,0.029507572085616364
some,3,0,0,1,0.011866401601697834
some,3,0,1,0,0.03958431705948828
some,3,0,1,1,0.016330385395799275
some,3,1,0,0,0.009129851891840431
some,3,1,0,1,0.0035117636047283774
some,3,1,1,0,0.012504403054031924
some,3,1,1,1,0.00498947583397641
some,4,0,0,0,0.01874008722575797
some,4,0,0,1,0.013312914267546766
some,4,0,1,0,0.0150673494294322
some,4,0,1,1,0.010980600710422445
some,4,1,0,0,0.010517875133221229
some,4,1,0,1,0.00714669936925922
some,4,1,1,0,0.008633816510102404
some,4,1,1,1,0.0060857027511321705
some,5,0,0,0,0.008057882354606116
some,5,0,0,1,0.008411217543025307
some,5,0,1,0,0.01036587950153132
some,5,0,1,1,0.011100225747355476
some,5,1,0,0,0.004216913527537486
some,5,1,0,1,0.004210257073884355
some,5,1,1,0,0.005538465832824167
some,5,1,1,1,0.005736325912522634
some,6,0,0,0,0.00720794153704849
some,6,0,0,1,0.008287068254282636
some,6,0,1,0,0.004697249486075072
some,6,0,1,1,0.005540143322315307
some,6,1,0,0,0.004854549160063883
some,6,1,0,1,0.005338442132418071
some,6,1,1,0,0.0032299130207514327
